,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,5,10,1,45,1,11,0.22014999999999998,-0.417,remove,ru,2,"[1, 6]","[2, 5]",False,True
1,2,5,10,1,45,1,2,0.22014999999999998,-0.417,move,ru,5,"[7, 1]","[8, 0]",False,True
0,1,5,10,1,45,2,2,0.1085,-0.383,move,ru,5,"[1, 6]","[2, 5]",False,True
1,2,5,10,1,45,2,4,0.1085,-0.083,move,z,5,"[8, 0]","[8, 0]",False,True
0,1,5,10,1,45,3,7,0.08465,-0.083,move,d,5,"[2, 5]","[2, 6]",False,True
1,2,5,10,1,45,3,11,0.08465,0.25,remove,ru,1,"[8, 0]","[9, -1]",False,True
0,1,5,10,1,45,4,10,0.09894999999999995,-0.333,remove,u,5,"[2, 6]","[2, 5]",False,True
1,2,5,10,1,45,4,3,0.09894999999999995,-0.567,move,l,5,"[8, 0]","[7, 0]",False,True
0,1,5,10,1,45,5,10,0.10140000000000002,0.75,remove,u,2,"[2, 6]","[2, 5]",False,True
1,2,5,10,1,45,5,6,0.10140000000000002,0.167,move,ld,5,"[7, 0]","[6, 1]",False,True
0,1,5,10,1,45,6,2,0.09879999999999997,-0.717,move,ru,5,"[2, 6]","[3, 5]",False,True
1,2,5,10,1,45,6,12,0.09879999999999997,-0.5,remove,l,2,"[6, 1]","[5, 1]",False,True
0,1,5,10,1,45,7,10,0.1183,0.083,remove,u,2,"[3, 5]","[3, 4]",False,True
1,2,5,10,1,45,7,6,0.1183,0.033,move,ld,5,"[6, 1]","[5, 2]",False,True
0,1,5,10,1,45,8,15,0.12935,-0.217,remove,d,2,"[3, 5]","[3, 6]",False,True
1,2,5,10,1,45,8,3,0.12935,-0.25,move,l,5,"[5, 2]","[4, 2]",False,True
0,1,5,10,1,45,9,14,0.12795,-0.467,remove,ld,5,"[3, 5]","[2, 6]",False,True
1,2,5,10,1,45,9,14,0.12795,0.333,remove,ld,2,"[4, 2]","[3, 3]",False,True
0,1,5,10,1,45,10,16,0.08720000000000001,0.25,remove,rd,2,"[3, 5]","[4, 6]",False,True
1,2,5,10,1,45,10,11,0.08720000000000001,-0.383,remove,ru,2,"[4, 2]","[5, 1]",False,True
0,1,5,10,1,45,11,16,0.11644999999999998,-0.217,remove,rd,2,"[3, 5]","[4, 6]",False,True
1,2,5,10,1,45,11,6,0.11644999999999998,0.117,move,ld,5,"[4, 2]","[3, 3]",False,True
0,1,5,10,1,45,12,2,0.09935,-0.217,move,ru,5,"[3, 5]","[4, 4]",False,True
1,2,5,10,1,45,12,13,0.09935,-0.5,remove,r,2,"[3, 3]","[4, 3]",False,True
0,1,5,10,1,45,13,13,0.1356,-0.667,remove,r,2,"[4, 4]","[5, 4]",False,True
1,2,5,10,1,45,13,5,0.1356,-0.717,move,r,5,"[3, 3]","[4, 3]",False,True
0,1,5,10,1,45,14,7,0.08630000000000002,-0.133,move,d,5,"[4, 4]","[4, 5]",False,True
1,2,5,10,1,45,14,5,0.08630000000000002,0.417,move,r,5,"[4, 3]","[5, 3]",False,True
0,1,5,10,1,45,15,14,0.09144999999999999,0.083,remove,ld,2,"[4, 5]","[3, 6]",False,True
1,2,5,10,1,45,15,8,0.09144999999999999,0.333,move,rd,5,"[5, 3]","[6, 4]",False,True
0,1,5,10,1,45,16,10,0.14905000000000002,-0.133,remove,u,5,"[4, 5]","[4, 4]",False,True
1,2,5,10,1,45,16,9,0.14905000000000002,-0.75,remove,lu,5,"[6, 4]","[5, 3]",False,True
0,1,5,10,1,45,17,9,0.25739999999999996,-0.25,remove,lu,2,"[4, 5]","[3, 4]",False,True
1,2,5,10,1,45,17,15,0.25739999999999996,-0.167,remove,d,2,"[6, 4]","[6, 5]",False,True
0,1,5,10,1,45,18,5,0.10254999999999999,0.033,move,r,5,"[4, 5]","[5, 5]",False,True
1,2,5,10,1,45,18,2,0.10254999999999999,-0.383,move,ru,5,"[6, 4]","[7, 3]",False,True
0,1,5,10,1,45,19,8,0.2089,-0.25,move,rd,5,"[5, 5]","[6, 6]",False,True
1,2,5,10,1,45,19,14,0.2089,0.917,remove,ld,5,"[7, 3]","[6, 4]",False,True
0,1,5,10,1,45,20,0,0.17759999999999998,0.417,move,lu,5,"[6, 6]","[5, 5]",False,True
1,2,5,10,1,45,20,8,0.17759999999999998,0.0,move,rd,5,"[7, 3]","[8, 4]",False,True
0,1,5,10,1,45,21,4,0.11584999999999998,0.0,move,z,5,"[5, 5]","[5, 5]",False,True
1,2,5,10,1,45,21,1,0.11584999999999998,0.167,move,u,5,"[8, 4]","[8, 3]",False,True
0,1,5,10,1,45,22,2,0.17219999999999996,0.167,move,ru,5,"[5, 5]","[6, 4]",False,True
1,2,5,10,1,45,22,14,0.17219999999999996,0.0,remove,ld,2,"[8, 3]","[7, 4]",False,True
0,1,5,10,1,45,23,8,0.13545,0.0,move,rd,5,"[6, 4]","[7, 5]",False,True
1,2,5,10,1,45,23,11,0.13545,-0.883,remove,ru,1,"[8, 3]","[9, 2]",False,True
0,1,5,10,1,45,24,14,0.1409,-0.417,remove,ld,5,"[7, 5]","[6, 6]",False,True
1,2,5,10,1,45,24,16,0.1409,-0.483,remove,rd,1,"[8, 3]","[9, 4]",False,True
0,1,5,10,1,45,25,3,0.11320000000000001,0.083,move,l,5,"[7, 5]","[6, 5]",False,True
1,2,5,10,1,45,25,14,0.11320000000000001,0.1,remove,ld,2,"[8, 3]","[7, 4]",False,True
