,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction
0,1,3,3,1,73,1,4,184.14755,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,1,4,184.14755,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,2,4,226.7153,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,2,4,226.7153,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,3,4,171.77759999999998,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,3,4,171.77759999999998,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,4,4,286.92675,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,4,4,286.92675,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,5,4,138.87719999999996,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,5,4,138.87719999999996,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,6,4,47.09655,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,6,4,47.09655,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,7,4,214.4934,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,7,4,214.4934,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,8,4,85.56445000000002,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,8,4,85.56445000000002,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,9,4,92.75474999999999,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,9,4,92.75474999999999,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,10,4,348.9913,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,10,4,348.9913,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,11,4,266.4387,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,11,4,266.4387,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,12,4,45.950199999999995,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,12,4,45.950199999999995,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,13,4,224.51785,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,13,4,224.51785,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,14,4,43.43449999999999,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,14,4,43.43449999999999,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,15,4,2.6427999999999994,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,15,4,2.6427999999999994,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,16,4,2.3978499999999996,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,16,4,2.3978499999999996,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,17,4,2.4599,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,17,4,2.4599,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,18,4,2.256050000000001,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,18,4,2.256050000000001,2,move,z,5,"[9, 2]","[9, 2]",False
0,1,3,3,1,73,19,4,2.4766000000000004,2,move,z,5,"[1, 7]","[1, 7]",False
1,2,3,3,1,73,19,4,2.4766000000000004,2,move,z,5,"[9, 2]","[9, 2]",False
